,job_id,url_logo,company_name,location,position,industry,min_company_size,max_company_size,job_desc,posted
0,3070229,https://siva.jsstatic.com/id/16655/images/logo/16655_logo_0.jpg,PT K-24 Indonesia,Surabaya (Jawa Timur),IT Support - (Surabaya),IT-Perangkat Keras,2001,5000," Job Description :

Support and maintenance hardware & software
Testing and deployment software

Job Specification :

Pendidikan minimal D3 / S1 Teknik Informatika / Sistem Informasi atau Akuntansi
Dapat menggunakan sistem operasi Windows, Linux, dan excel
Teliti serta memiliki kemauan untuk belajar hal yang baru
Mempunyai kemampuan komunikasi yang baik dan dapat bekerja secara tim
Komunikatif
Mengerti trouble shooting komp & system
Dapat bekerja secara multitasking
 ",24/09/19
1,3070228,,PT Prima Karya Cemerlang,Jawa Timur - Sidoarjo,PPIC staff,Manufaktur,0,0," 
Requirement

Usia Maksimal 25 tahun
Pendidikan terakhir minimal S1/D3 jurusan Matematika atau IPA
IPK. Minimal 3.00
Freshgraduate atau memiliki pengalaman kerja minimal 1 tahun
Mampu mengoperasikan komputer MS Office
Memiliki integritas, ketelitian dan kerja tim yang kuat.
Memiliki komitmen untuk menyelesaikan pekerjaan tepat waktu.
Memiliki kemampuan analisa yang kuat
Detail oriented



Deskripsi Pekerjaan
 

Monitoring produksi dan pencapaiannya
Menghitung keperluan material produksi dan inventory control
Membuat surat pedoman kerja produksi
Memperbaiki sistem produksi
Analisa problem produksi
Improvement lainnya

 ",24/09/19
2,3070218,https://siva.jsstatic.com/id/48/images/logo/48_logo_0_5817503.jpg,Sinar Mas Land,Jakarta Pusat (Jakarta Raya),Lease & Promotion Staff (L&PS-JKT-AM-11),Sekretaris,5000,99999," Job Description:Doing lease administration for lease-able area and common areaMaintain contract reportRequirements:Minimum Bachelor Degree from any majorMinimum 1 year of working experience as Admin or Lease StaffAble to implement the applications of Ms. OfficeGood communication skillInnovative, discipline, honest, diligent & have integrityWilling to be placed in Thamrin, Central Jakarta ",24/09/19
3,3070226,https://siva.jsstatic.com/id/2081/images/logo/2081_logo_0_7877084.jpg,PT Cipta Kridatama,Jakarta Selatan (Jakarta Raya) - Cilandak,Fuel Distribution Specialist,Logistik/Jaringan,2001,5000," Job Desc :


Membuatkan rencana pengiriman ke project yang dikirimkan dan di kordinasikan dengan transportir.
Membuat PR system ( CSIS ) untuk Fuel Site berdasarkan kebutuhan bulanan nya
Membantu proses penerimaan barang, yang meliputi pembongkaran bos, pengangkatan dan pemindahan barang.
Proses pengecekan Invoice Fuel Transport dengan Jumlah Fuel yang di terima di site sesuai dengan periode invoice dan jumlah pengiriman.
Inventarisasi Flowmeter dan tangki Terra site dan menjamin Flowmeter dan Tangki tera yang di gunakan sudah dikalibrasi
Memastikan dan secara konsistent melakukan sounding Tangki Timbun dan Fuel Truck Consumption ( Fuel Truck CK ) serta memastikan  tidak terjadi kesalahan pencatatan pada Flowmeter Out baik  saat proses refuelling ke unit  maupun transfer dari Tangki timbun ke Fuel Truck CK
Memastikan proses refueling berjalan efisien dan efektif sehingga tidak mengganggu operasional tambang dan tidak melebihi target refueling yang di tetapkan oleh project
Proses pembongkaran fuel dan pengisian fuel ke unit (dari static tank).
Pencatatan pengambilan dan pengeluaran daily stock dengan jelas, rapi dan tepat.

Job Requirement :


Minimal lulusan D3/S1 Teknik
Pengalaman min 8 Tahun dalam bidang tambang / Fuel Management.
Bahasa Inggris
Komputer Literasi
Menguasai proses Logistics dan Inventory,  Melaksanakan MK3L


 ",24/09/19
4,3070225,https://siva.jsstatic.com/id/30459/images/logo/30459_logo_0_268572.jpg,PT Prima Untung Bersama,Semarang (Jawa Tengah),SUPERVISOR MARKETING,Penjualan - Teknik/Teknikal/IT,51,200," Memimpin kegiatan pemasaran area Jawa Tengah untuk mencapai target penjualan dan pengembangan pasar secara efektif dan efisien.

Pendidikan minimal S1 sederajat jurusan pemasaran, komunikasi, teknik mesin, teknik industri, atau bidang terkait.
Berpengalaman bidang marketing industri minimal 3 tahun (bidang power transmission diutamakan).
Memiliki kemampuan supervisi dan leadership yang baik.
Berorientasi pada target.
Market area Jawa Tengah.
Penempatan Kota Semarang.
Dapat segera bergabung.
 ",24/09/19
5,3070224,https://siva.jsstatic.com/id/15827/images/logo/15827_logo_0_135707.jpg,BénBérg Arôme Indonesia,Batam (Kepulauan Riau) - RIAU - PEKANBARU,ASSISTANT SALES DIRECTOR (MANDARIN SPEAKER),Pemasaran/Pengembangan Bisnis,201,500," 
Work Location:
 
BASED OFFICE in Driyorejo, 15 minutes from Surabaya Barat (1 week / month)
COVERAGE AREA in Sumatera (Medan, Lampung, Pekan Baru, Riau, etc) (3 weeks / month)

 
Requirements:
 

Candidate with 3 years minimum experienced preferred
Experienced in the same industry will be more advantage
At least graduated with Diploma or Bachelor Degree in any fields
Highly self-motivated, strong interpersonal and communication skills
Result oriented, self-driven, persuasive and resourceful, and discipline
Able to work as a team and independence
Final result oriented and consistent
This position is required to perform regularly to visit prospect customers
Search for new opportunity of prospect customers
Will be travelling most of the time And will cover Medan market and surround Indonesia.
Fluent of Hokkian is a must, Mandarin is a must, Internasional Language (English) is preferable.
Highly traveling required as per Company database.

 
Benefit:
1.    Basic Salary
2.    Attractive Sales Commissions
3.    Target Allowance
4.    Transport Allowance (Refer to Sales scheme)
5.    Phone and Internet Allowance (Refer to sales scheme)
6.    Meal Allowance (Refer to Sales scheme)
 
**For more information please send Whatsapp to +62 811 3567 550 / +62 878 6049 8883


 ",24/09/19
6,3070223,https://siva.jsstatic.com/id/5747/images/logo/5747_logo_0_28095.jpg,PT Djabesmen,Cikarang (Jawa Barat) - Lemah Abang,Human Resource Information System (HRIS) Analyst,IT-Jaringan/Sistem/Sistem Database,501,1000," 
Melakukan implementasi dan pengembangan sistem HRIS
Melakukan analisa dan development untuk HRIS data dan reporting
Memberikan support dan service bagi seluruh user sistem
Koordinasi dan bekerjasama dengan vendor sistem HRIS
Membuat dan mengelola dokumentasi terkait sistem
Menguasasi Human Resource Information System (HRIS)
Memiliki keahlian dan pengalaman dalam analysis, design, dan software programming (WEB & Database)
Menguasai Business Process dan Policy terkait dengan HR
Memiliki loyalitas, ketelitian, kreativitas, serta mampu bekerjasama dalam tim
 ",24/09/19
7,3070222,https://siva.jsstatic.com/id/2081/images/logo/2081_logo_0_7877084.jpg,PT Cipta Kridatama,Jakarta Selatan (Jakarta Raya),Specialis - Logistik,Logistik/Jaringan,2001,5000," Job Desk :


Menerima Delivery Instruction dari end user dan kemudian mendiskusikan dengan direct superior untuk merancang operating plan termasuk moda transport yang diperlukan.
Memberikan feedback kepada end user terkait operating plan yang sudah dibuat.
Melakukan pengiriman permintaan penawaran ke forwarder
Melakukan review awal kepada setiap penawaran forwarder sesuai dengan aturan dan kebijakan perusahaan contoh ToP.
Melakukan pengawasan pekerjaan pengiriman unit  (termasuk dismantle & assembly) dan barang dari suatu origin ke destination point secara langsung
Melakukan seleksi forwarder sesuai dengan prosedur yang berlaku
Melakukan review terhadap evaluasi vendor.
Membuat operating plan dan estimasi biaya untuk big shipment dan didiskusikan bersama Logistic team agar nantinya sebagai acuan oleh end user.
Melakukan review awal terhadap bidding tabulasi.

Job Requirement :


Familiar di Microsoft Office program
Menguasai SAP program
Negotiation Skill
Mempunyai kemampuan berbahasa Inggris (speak & written)
POP Certificate
Pengetahuan Lifting & Handling Material dan Rigging
Pendidikan Min S1
Berpengalaman dibidang yang sama minimal 5 tahun.
Penempatan Jakarta
Mempunya pengalaman kerja di bidang Forwarder.


 ",24/09/19
8,3070221,https://siva.jsstatic.com/id/11705/images/logo/11705_logo_0_574090.jpg,PT Central Mega Kencana,Jakarta Selatan (Jakarta Raya) - Synthesis Square,Finance Cost Control Officer,Keuangan/Investasi,1001,2000,"          JobDesk : 

Mengevaluasi proposal Budget setiap Departemen dari sisi kelengkapan, keakuratan, dan kepatuhan terhadap ketentuan yang berlaku.
Mengawasi dan memastikan penggunaan Budget sudah sesuai dengan yang dianggarkan.
Melakukan persiapan laporan Budget.

           Kualifikasi :

S1, Akuntansi  dari kampus ternama
Pengalaman min. 1 tahun dalam budgeting dan cost controller
Menguasai Bahasa Inggris/Mandarin
Rapi, teliti, cekatan, menyukai angka
Penempatan : Synthesis Square, Jakarta Selatan
 ",24/09/19
9,3070220,https://siva.jsstatic.com/id/48197/images/logo/48197_logo_0_454883.jpg,PT Triguna Inovatif Gemilang Abadi,Tangerang (Banten) - Daan Mogot,Administrasi (Pajak),Audit & Pajak,50,99999," 
Bertanggung jawab untuk membuat laporan PPh21
Bertanggung jawab untuk membuat laporan PPN
Bertanggung jawab untuk membuat laporan PPh23
Bertanggung jawab untuk membuat laporan PPh4 ayat 2
Bertanggung jawab untuk membuat laporan SPT Tahunan 1771

 
Requirements:

Pendidikan minimal SMA sederajat
Usia maksimal 30 tahun
Teliti dan detil dalam pekerjaan administrasi
Rapi dan cepat dalam melakukan pekerjaan
Memiliki pengalaman minimum 1 tahun di bidang administrasi / perpajakan
Menguasai MS Office terutama Word & Excel
Lebih diutamakan yang menguasai aplikasi Accurate
Mampu bekerjasama dalam tim serta memiliki kemampuan bersosialisasi yang baik
Mampu bekerja dibawah tekanan
Mampu menyelesaikan pekerjaan tepat waktu (sesuai dateline)
Dapat menjaga kerahasiaan informasi penting
Jujur dan loyal

 
Benefits:

Gaji pokok
Bonus tahunan: Berdasarkan kinerja perusahaan dan pribadi

 
Jika Anda memenuhi kriteria di atas dan tertarik untuk bergabung menjadi bagian dari Superteam kami, segera kirimkan resume dan ijazah Anda ",24/09/19
